name,mood,budget,travel_type,location,destination,description
Bhaktapur Durbar Square,Religious,low,Travel destination,Bhaktapur,Bhaktapur,A cultural heritage site of ancient Newari art and architecture
Swayambhunath Stupa,Religious,low,Travel destination,Kathmandu,Kathmandu,Ancient monkey temple with panoramic valley view
Pashupatinath Temple,Religious,low,Travel destination,Kathmandu,Kathmandu,Sacred Hindu temple on the Bagmati river
Chandragiri Hills,Fun,medium,Tour site,Kathmandu,Kathmandu,Cable car ride with wide Kathmandu valley view
Nagarkot,Peaceful,medium,Travel destination,Bhaktapur,Bhaktapur,Famous sunrise view of Himalayas near Kathmandu
Garden of Dreams,Relax,low,Travel destination,Kathmandu,Kathmandu,Peaceful historical garden in the city center
Shivapuri National Park,Adventure,low,Travel destination,Kathmandu,Kathmandu,Hiking and nature trails near Kathmandu valley
Dhulikhel,Peaceful,medium,Travel destination,Kavrepalanchok,Kavrepalanchok,Scenic hill town with Himalayan views
Pokhara Lakeside,Fun,medium,Tour site,Pokhara,Pokhara,Lakeside area with cafes and boating activities
World Peace Pagoda,Peaceful,low,Travel destination,Pokhara,Pokhara,Stupa with panoramic view of Pokhara valley
Sarangkot,Adventure,medium,Travel destination,Pokhara,Pokhara,Paragliding and sunrise viewpoint
Devi's Fall,Fun,low,Travel destination,Pokhara,Pokhara,Unique waterfall attraction
Mahendra Cave,Adventure,low,Travel destination,Pokhara,Pokhara,Natural limestone cave exploration
Chitwan National Park,Adventure,medium,Tour site,Chitwan,Chitwan,Jungle safari and wildlife experience
Everest Base Camp,Adventure,high,Tour site,Solukhumbu,Solukhumbu,World famous trekking destination
Annapurna Base Camp,Adventure,high,Tour site,Kaski,Kaski,Popular Himalayan trekking route
Mustang (Lo Manthang),Adventure,high,Tour site,Mustang,Mustang,Ancient desert-like Himalayan region
Rara Lake,Nature,high,Tour site,Mugu,Mugu,Largest lake in Nepal with remote beauty
Langtang Valley,Adventure,high,Tour site,Rasuwa,Rasuwa,Beautiful trekking valley near Tibet border
Gosaikunda Lake,Religious,high,Tour site,Rasuwa,Rasuwa,Sacred alpine lake in the Himalayas
Upper Dolpo,Adventure,high,Tour site,Dolpa,Dolpa,Remote and untouched Himalayan region
Manang Valley,Adventure,high,Tour site,Manang,Manang,High altitude scenic trekking region
Lumbini,Religious,medium,Tour site,Rupandehi,Rupandehi,Birthplace of Lord Buddha with monasteries
Ilam Tea Gardens,Relax,medium,Tour site,Ilam,Ilam,Green tea fields and peaceful environment
Bandipur,Peaceful,medium,Tour site,Tanahun,Tanahun,Traditional Newari town on hilltop
Tansen,Peaceful,medium,Tour site,Palpa,Palpa,Hill town with cultural heritage
Khaptad National Park,Nature,high,Tour site,Doti,Doti,Remote national park with spiritual atmosphere
